Data;Plataforma;Valor Corrida;Distancia (km)
01/08/2026;Uber;R$ 42,85;7.6
01/08/2026;Uber;R$ 12,82;19.0
01/08/2026;99;R$ 35,75;2.7
01/08/2026;Uber;R$ 18,94;15.8
01/08/2026;99;R$ 41,65;18.1
01/08/2026;Uber;R$ 29,11;8.4
01/08/2026;InDriver;R$ 43,66;5.7
01/08/2026;Uber;R$ 21,06;7.0
02/08/2026;Uber;R$ 12,36;4.2
02/08/2026;99;R$ 36,38;20.6
02/08/2026;99;R$ 33,20;24.4
02/08/2026;Uber;R$ 33,95;21.1
02/08/2026;99;R$ 48,50;15.3
02/08/2026;99;R$ 10,15;7.2
02/08/2026;Uber;R$ 11,75;7.4
02/08/2026;Uber;R$ 21,06;16.6
02/08/2026;Uber;R$ 25,40;6.8
03/08/2026;99;R$ 40,13;3.6
03/08/2026;99;R$ 33,10;7.6
03/08/2026;Uber;R$ 20,69;23.3
03/08/2026;99;R$ 18,32;9.5
03/08/2026;99;R$ 10,63;20.9
04/08/2026;Uber;R$ 20,58;6.9
04/08/2026;InDriver;R$ 49,19;9.2
04/08/2026;99;R$ 26,59;23.0
04/08/2026;Uber;R$ 20,45;7.7
04/08/2026;99;R$ 20,35;15.4
04/08/2026;InDriver;R$ 26,77;7.0
04/08/2026;InDriver;R$ 31,95;4.1
04/08/2026;Uber;R$ 13,15;16.4
04/08/2026;99;R$ 27,84;3.5
05/08/2026;99;R$ 30,00;7.8
05/08/2026;99;R$ 52,29;17.6
05/08/2026;Uber;R$ 49,59;19.3
05/08/2026;99;R$ 23,99;8.8
05/08/2026;Uber;R$ 8,15;18.6
05/08/2026;99;R$ 53,68;19.5
06/08/2026;InDriver;R$ 48,91;8.9
06/08/2026;99;R$ 36,62;5.5
06/08/2026;99;R$ 33,35;19.9
06/08/2026;99;R$ 8,03;9.5
06/08/2026;Uber;R$ 51,67;22.2
06/08/2026;99;R$ 22,45;3.3
06/08/2026;InDriver;R$ 52,51;4.0
07/08/2026;99;R$ 53,97;14.3
07/08/2026;Uber;R$ 39,01;23.8
07/08/2026;Uber;R$ 32,80;16.0
07/08/2026;InDriver;R$ 51,66;19.4
07/08/2026;99;R$ 41,51;11.2
07/08/2026;99;R$ 25,55;22.7
08/08/2026;Uber;R$ 18,56;9.8
08/08/2026;99;R$ 18,82;7.1
08/08/2026;Uber;R$ 37,66;7.3
08/08/2026;InDriver;R$ 48,40;3.6
08/08/2026;Uber;R$ 39,44;6.9
08/08/2026;Uber;R$ 51,97;15.1
09/08/2026;Uber;R$ 30,23;11.4
09/08/2026;Uber;R$ 38,97;10.1
09/08/2026;Uber;R$ 48,60;3.2
09/08/2026;99;R$ 38,37;3.4
09/08/2026;99;R$ 45,63;4.5
09/08/2026;Uber;R$ 33,21;5.2
10/08/2026;Uber;R$ 19,74;23.2
10/08/2026;Uber;R$ 48,48;14.7
10/08/2026;Uber;R$ 54,97;21.2
10/08/2026;InDriver;R$ 51,54;21.5
11/08/2026;Uber;R$ 30,62;21.9
11/08/2026;InDriver;R$ 15,74;2.0
11/08/2026;Uber;R$ 51,55;20.1
11/08/2026;Uber;R$ 40,74;18.8
12/08/2026;99;R$ 41,77;5.6
12/08/2026;Uber;R$ 53,53;15.3
12/08/2026;99;R$ 43,15;3.3
12/08/2026;99;R$ 31,63;21.6
12/08/2026;Uber;R$ 53,16;3.8
12/08/2026;Uber;R$ 35,97;17.5
12/08/2026;Uber;R$ 13,63;22.5
12/08/2026;Uber;R$ 35,94;16.2
12/08/2026;Uber;R$ 35,43;14.0
13/08/2026;Uber;R$ 41,66;7.5
13/08/2026;Uber;R$ 39,57;8.9
13/08/2026;Uber;R$ 43,34;3.7
13/08/2026;Uber;R$ 54,93;24.9
13/08/2026;Uber;R$ 18,02;8.1
14/08/2026;InDriver;R$ 49,33;10.5
14/08/2026;Uber;R$ 47,19;18.2
14/08/2026;99;R$ 54,40;17.0
14/08/2026;Uber;R$ 46,40;8.9
14/08/2026;99;R$ 52,13;5.1
15/08/2026;InDriver;R$ 42,89;5.6
15/08/2026;Uber;R$ 17,90;9.9
15/08/2026;99;R$ 48,09;13.6
16/08/2026;InDriver;R$ 47,77;4.1
16/08/2026;Uber;R$ 21,00;2.1
16/08/2026;99;R$ 37,94;8.0
16/08/2026;99;R$ 33,93;11.8
16/08/2026;Uber;R$ 11,54;22.3
17/08/2026;99;R$ 47,23;15.4
17/08/2026;Uber;R$ 13,99;9.1
17/08/2026;InDriver;R$ 45,42;21.8
17/08/2026;InDriver;R$ 17,87;7.7
18/08/2026;Uber;R$ 34,31;22.1
18/08/2026;InDriver;R$ 43,23;23.3
18/08/2026;Uber;R$ 15,64;20.4
19/08/2026;InDriver;R$ 9,16;18.9
19/08/2026;Uber;R$ 51,75;20.5
19/08/2026;InDriver;R$ 46,11;8.1
19/08/2026;99;R$ 13,08;22.1
20/08/2026;Uber;R$ 17,38;23.1
20/08/2026;Uber;R$ 46,57;22.0
20/08/2026;Uber;R$ 39,02;11.2
20/08/2026;Uber;R$ 11,26;19.8
20/08/2026;Uber;R$ 31,94;17.6
20/08/2026;99;R$ 23,56;2.6
20/08/2026;InDriver;R$ 20,28;15.4
20/08/2026;InDriver;R$ 9,80;15.7
20/08/2026;Uber;R$ 44,96;12.0
21/08/2026;Uber;R$ 50,28;6.4
21/08/2026;Uber;R$ 28,49;14.0
21/08/2026;99;R$ 40,28;23.6
21/08/2026;99;R$ 17,26;11.9
21/08/2026;InDriver;R$ 51,28;16.3
21/08/2026;99;R$ 13,86;22.7
21/08/2026;99;R$ 39,34;9.5
22/08/2026;Uber;R$ 13,98;11.7
22/08/2026;InDriver;R$ 39,83;22.8
22/08/2026;99;R$ 22,14;14.6
22/08/2026;Uber;R$ 21,48;11.9
22/08/2026;99;R$ 38,77;12.7
22/08/2026;Uber;R$ 18,04;12.9
22/08/2026;InDriver;R$ 45,41;5.9
22/08/2026;Uber;R$ 32,23;16.6
23/08/2026;Uber;R$ 52,74;7.4
23/08/2026;Uber;R$ 45,91;5.4
23/08/2026;Uber;R$ 54,24;16.1
23/08/2026;99;R$ 29,40;22.4
23/08/2026;99;R$ 41,76;10.8
24/08/2026;Uber;R$ 38,83;2.1
24/08/2026;99;R$ 44,19;4.5
24/08/2026;Uber;R$ 16,27;24.0
24/08/2026;99;R$ 10,36;7.7
24/08/2026;99;R$ 29,45;20.4
24/08/2026;99;R$ 54,43;15.7
25/08/2026;InDriver;R$ 36,79;18.5
25/08/2026;99;R$ 47,04;14.6
25/08/2026;InDriver;R$ 42,95;12.9
25/08/2026;Uber;R$ 19,62;16.7
25/08/2026;99;R$ 32,50;16.4
25/08/2026;Uber;R$ 11,64;8.6
25/08/2026;Uber;R$ 23,03;14.4
25/08/2026;Uber;R$ 18,87;18.0
25/08/2026;99;R$ 11,02;11.4
26/08/2026;Uber;R$ 10,93;21.2
26/08/2026;Uber;R$ 44,18;23.8
26/08/2026;Uber;R$ 49,39;15.2
26/08/2026;Uber;R$ 52,31;8.9
26/08/2026;Uber;R$ 49,91;21.2
26/08/2026;99;R$ 42,53;20.4
26/08/2026;InDriver;R$ 30,95;8.3
27/08/2026;Uber;R$ 23,80;17.6
27/08/2026;Uber;R$ 15,76;12.7
27/08/2026;Uber;R$ 37,25;2.6
27/08/2026;Uber;R$ 34,53;2.6
27/08/2026;99;R$ 14,38;12.6
27/08/2026;Uber;R$ 25,82;6.9
28/08/2026;Uber;R$ 49,34;8.4
28/08/2026;InDriver;R$ 27,81;21.2
28/08/2026;Uber;R$ 43,20;3.2
28/08/2026;InDriver;R$ 18,54;3.6
28/08/2026;InDriver;R$ 9,89;2.7
29/08/2026;Uber;R$ 8,96;5.5
29/08/2026;Uber;R$ 39,46;15.0
29/08/2026;Uber;R$ 40,87;19.6
29/08/2026;Uber;R$ 36,54;19.2
30/08/2026;99;R$ 15,70;9.2
30/08/2026;99;R$ 51,66;15.2
30/08/2026;InDriver;R$ 25,64;23.7
31/08/2026;Uber;R$ 40,46;16.4
31/08/2026;Uber;R$ 44,31;21.6
31/08/2026;99;R$ 13,69;24.6
31/08/2026;99;R$ 24,32;11.9
01/09/2026;Uber;R$ 38,43;2.3
01/09/2026;Uber;R$ 31,04;12.0
01/09/2026;Uber;R$ 49,90;12.6
01/09/2026;Uber;R$ 16,28;14.0
01/09/2026;99;R$ 36,95;23.2
02/09/2026;Uber;R$ 28,47;18.8
02/09/2026;Uber;R$ 48,03;21.1
02/09/2026;Uber;R$ 49,44;7.6
02/09/2026;Uber;R$ 36,69;10.7
02/09/2026;Uber;R$ 47,99;6.2
02/09/2026;Uber;R$ 45,50;9.8
02/09/2026;InDriver;R$ 40,96;8.4
02/09/2026;Uber;R$ 52,56;4.0
02/09/2026;99;R$ 30,96;19.4
03/09/2026;Uber;R$ 41,46;12.3
03/09/2026;Uber;R$ 21,83;11.3
03/09/2026;Uber;R$ 39,21;10.5
03/09/2026;99;R$ 24,16;24.9
03/09/2026;99;R$ 24,54;12.4
03/09/2026;Uber;R$ 18,84;18.6
03/09/2026;Uber;R$ 42,92;23.9
03/09/2026;99;R$ 17,00;19.0
04/09/2026;99;R$ 53,90;14.1
04/09/2026;Uber;R$ 12,72;6.5
04/09/2026;Uber;R$ 16,43;2.3
04/09/2026;99;R$ 20,89;24.4
04/09/2026;99;R$ 40,78;4.9
05/09/2026;99;R$ 12,82;2.3
05/09/2026;Uber;R$ 30,50;9.8
05/09/2026;InDriver;R$ 19,87;21.8
05/09/2026;Uber;R$ 11,07;13.3
05/09/2026;99;R$ 40,26;5.5
05/09/2026;99;R$ 52,61;4.0
05/09/2026;Uber;R$ 34,23;11.6
05/09/2026;99;R$ 37,07;19.8
05/09/2026;Uber;R$ 50,70;8.8
06/09/2026;InDriver;R$ 22,35;16.3
06/09/2026;99;R$ 42,78;23.8
06/09/2026;Uber;R$ 17,92;17.2
06/09/2026;Uber;R$ 16,17;3.7
06/09/2026;Uber;R$ 29,17;15.7
06/09/2026;Uber;R$ 18,88;18.3
06/09/2026;99;R$ 29,34;17.8
07/09/2026;99;R$ 37,38;17.2
07/09/2026;InDriver;R$ 27,98;14.5
07/09/2026;99;R$ 50,70;21.0
07/09/2026;Uber;R$ 15,80;9.1
07/09/2026;99;R$ 34,75;8.6
08/09/2026;Uber;R$ 22,29;11.3
08/09/2026;Uber;R$ 33,38;12.1
08/09/2026;99;R$ 49,80;18.9
09/09/2026;Uber;R$ 12,29;24.1
09/09/2026;99;R$ 35,03;23.9
09/09/2026;InDriver;R$ 39,60;8.2
09/09/2026;Uber;R$ 43,54;12.8
09/09/2026;99;R$ 51,06;6.2
09/09/2026;99;R$ 37,83;13.3
09/09/2026;Uber;R$ 24,35;9.7
10/09/2026;Uber;R$ 15,56;11.5
10/09/2026;Uber;R$ 39,14;11.2
10/09/2026;99;R$ 9,72;4.0
10/09/2026;Uber;R$ 13,45;19.8
10/09/2026;InDriver;R$ 46,77;2.0
10/09/2026;InDriver;R$ 29,71;3.2
10/09/2026;99;R$ 37,26;13.5
10/09/2026;Uber;R$ 10,43;8.1
11/09/2026;InDriver;R$ 28,59;18.1
11/09/2026;Uber;R$ 53,74;16.0
11/09/2026;Uber;R$ 15,44;14.7
11/09/2026;99;R$ 12,38;24.8
12/09/2026;Uber;R$ 13,52;21.1
12/09/2026;Uber;R$ 41,68;13.7
12/09/2026;Uber;R$ 47,23;24.5
13/09/2026;Uber;R$ 14,80;6.4
13/09/2026;99;R$ 43,08;5.1
13/09/2026;Uber;R$ 44,32;21.7
13/09/2026;Uber;R$ 45,02;8.1
14/09/2026;Uber;R$ 22,03;15.5
14/09/2026;InDriver;R$ 31,01;5.4
14/09/2026;99;R$ 24,22;14.7
